percent_of_graduate_enrollment_that_are_black_or_african_american,estimated_enrollment_total,associates_degrees_awarded,estimated_enrollment_part_time,percent_of_graduate_enrollment_that_are_women,percent_of_total_enrollment_that_are_women,percent_of_freshmen_receiving_institutional_grant_aid,graduation_rate__bachelor_degree_within_4_years_total,percent_of_freshmen_receiving_any_financial_aid,percent_of_total_enrollment_that_are_native_hawaiian_or_other_pacific_islander,percent_of_freshmen__receiving_federal_grant_aid,percent_of_total_enrollment_that_are_asian,percent_of_total_enrollment_that_are_white,percent_of_freshmen_submitting_sat_scores,tuition_and_fees_201011,sat_avg,offers_associates_degree_Yes,percent_of_graduate_enrollment_that_are_asian,certificates_of_less_than_1year_awarded,percent_of_total_enrollment_that_are_black_or_african_american,offers_less_than_one_year_certificate_Yes,percent_of_total_enrollment_that_are_nonresident_alien,fips_state_code_Pennsylvania,certificates_of_1_but_less_than_2years_awarded,percent_of_total_enrollment_that_are_two_or_more_races,geographic_region_Great Lakes IL IN MI OH WI,fips_state_code_New York,percent_of_graduate_enrollment_that_are_white,Cluster,Admission Rate
-0.293602539180827,-0.2136591802984155,-0.24367547730912442,-0.3777449934028047,0.44585589663671166,-0.24729089468483417,-1.3257379042067645,-1.2687147484727666,0.525498078357173,-0.1352793619491098,2.125539047021242,-0.5543605985287667,0.26931536552104307,-1.3032421917483596,-1.1422910491629432,-0.11916558339692221,0.0,-0.31292891825502595,-0.15841424355973266,-0.34339032787677826,0.0,-0.7525438707277847,0.0,-0.1901853003255547,-1.1255110585457762,0.0,0.0,0.17151012016500936,1,-0.23415600398463648
0.24707728687366123,1.2303372638896914,-0.24367547730912442,-0.34897010048168986,0.057251950363578615,0.26235205083223057,-0.362690034136934,-0.3863753927499563,-0.06692169753776882,-0.1352793619491098,-0.29177223862039936,0.25036062990097374,0.17945570903180313,-1.5898300943204002,-1.141744730338749,0.9185274509518397,0.0,0.18271688515561899,-0.15841424355973266,0.3677621004242524,0.0,-0.25070255887598575,0.0,0.5859366754642854,0.28275481731818847,0.0,0.0,0.4282898628286093,1,0.9305279074475531
-0.293602539180827,-0.6825528868503422,-0.22057870381726846,-0.475510292243219,-0.6422351529280615,0.007530578073697715,0.6691469695093132,-1.7331038830637193,0.7793922680264342,-0.1352793619491098,-0.0769001243411422,-0.7555409056362018,-1.3481584512852747,0.2889128225407547,-0.9091950175067287,-0.11916558339692221,1.0,-0.8085747216656709,-0.15841424355973266,-0.34339032787677826,0.0,-0.7525438707277847,0.0,-0.1901853003255547,-1.1255110585457762,0.0,0.0,-1.5232361814147528,2,-0.40323231393947084
-0.22601756092401595,0.03709980055882224,-0.24367547730912442,0.31285243670395146,-1.5748846239835825,-1.181636294799454,-0.2595063337723092,-0.9900812677181949,-0.32081588720703,-0.1352793619491098,-0.5603623814694705,0.04918032279353859,0.4041048502549025,-0.6982232863184962,-0.9882291407401639,0.8355120082039388,0.0,0.18271688515561899,-0.15841424355973266,-0.08940731776926734,1.0,0.2511387529758133,0.0,-0.1901853003255547,-0.6560890999244546,0.0,0.0,0.3769339142958892,1,0.9772226266848615
-0.293602539180827,-0.10149997627553535,-0.24367547730912442,-0.2699258163128443,0.6012974751459652,0.26235205083223057,-1.256948770630348,-1.3151536619318618,0.1869724921314924,-0.1352793619491098,1.8569489041721703,-0.7555409056362018,0.26931536552104307,-1.2077128908910129,-1.0180945697961163,-1.6549512742330899,0.0,-0.5607518199603484,-0.15841424355973266,-0.34339032787677826,0.0,-0.4179829961599187,0.0,-0.1901853003255547,-0.6560890999244546,0.0,0.0,0.17151012016500936,1,-0.546569841525804
0.11190733036003907,-0.4160148544765776,-0.24367547730912442,-0.34897010048168986,-0.40907278516418205,-0.24729089468483417,-0.7066357020190163,0.26376939567737756,-1.3363926458840738,-0.1352793619491098,-1.151260695737427,-0.5543605985287667,0.7635434762118622,-1.0484973894621015,-0.9510794606949547,0.5864656799602359,0.0,-0.5607518199603484,-0.15841424355973266,-0.14020391979076952,0.0,-0.08342212159205269,0.0,-0.1901853003255547,-0.18666714130313303,0.0,0.0,0.5310017598940495,1,0.018505550157777714
-0.293602539180827,-0.4107907090420518,-0.24367547730912442,0.055611827698322396,0.057251950363578615,0.6021140145102744,0.2564121680508144,-0.15418082545447995,0.35623528524433223,-0.1352793619491098,-0.0769001243411422,-0.5543605985287667,0.6736838197226224,0.2889128225407547,-0.03144277330129567,-0.11916558339692221,0.0,-0.31292891825502595,-0.15841424355973266,-0.14020391979076952,0.0,-0.5852634334438517,0.0,-0.1901853003255547,-0.6560890999244546,0.0,0.0,0.17151012016500936,2,-0.40323231393947084
-0.293602539180827,-0.20598288496605108,-0.24367547730912442,0.06982593143043937,0.44585589663671166,0.4322330326712524,-0.7754248355954328,-1.2687147484727666,-0.06692169753776882,-0.1352793619491098,0.3528441042173715,-0.3531802914213316,-0.31477240165901604,-1.780888696035094,-1.067627476523062,-0.11916558339692221,0.0,-0.5607518199603484,-0.03688013522233337,-0.34339032787677826,0.0,0.08385831569188036,0.0,-0.1901853003255547,-1.1255110585457762,0.0,0.0,-1.0610326446202722,1,0.789748729349753
-0.15843258266720497,-0.4160148544765776,-0.24367547730912442,0.7278349285903908,-1.0308390992011955,-0.7569338402018998,-0.19071720019589267,0.03157482838190116,-1.2517612493276535,-0.1352793619491098,-1.5272868957261267,-0.3531802914213316,0.9432627891903421,-1.239555991176795,-0.9510794606949547,0.9185274509518397,0.0,-0.06510601654970354,-0.15841424355973266,-0.34339032787677826,0.0,0.08385831569188036,0.0,-0.1901853003255547,-1.1255110585457762,0.0,0.0,0.17151012016500936,1,0.2682480822430174
-0.293602539180827,-0.6226351371727199,-0.24367547730912442,-0.5722355347129906,0.057251950363578615,-1.0117553129604322,0.8755143702385625,0.7281585302683303,0.6101294749135935,-0.1352793619491098,-1.097542667167613,0.04918032279353859,0.9432627891903421,-0.7619094868900609,0.8690727552455646,0.8355120082039388,0.0,-0.31292891825502595,-0.15841424355973266,-0.2417971238337739,0.0,-0.7525438707277847,0.0,-0.1901853003255547,-0.6560890999244546,0.0,0.0,0.17151012016500936,0,-0.19341288795927522
